"hh2_id","n_sites","Nb","CI_low","CI_high","posteriorProb","prop_shared_a","prop_shared_b","n_a","n_b","n_shared"
"hh2_1",NA,NA,NA,NA,0.9515619,NA,0,0,2,0
"hh2_2",2,1,1,7,0.849086,0,0,4,2,0
"hh2_3",2,1,1,54,0.9319627,0,0,2,2,0
"hh2_4",2,1,1,71,0.9208432,0,0,1,2,0
"hh2_5",2,1,1,31,0.7558498,0,0,2,1,0
"hh2_6",2,3,2,7,0.8657254,0,0,1,2,0
"hh2_7",30,1,1,1,1,0,0,30,3,0
"hh2_8",1,NA,NA,NA,0.6309348,0,0,2,1,0
"hh2_9",1,NA,NA,NA,0.7837686,0,0,1,1,0
"hh2_10",NA,NA,NA,NA,0.6571337,NA,0,0,1,0
"hh2_11",2,1,1,66,0.7608496,NA,0,0,2,0
"hh2_12",NA,NA,NA,NA,0.7616095,NA,NA,0,0,0
"hh2_13",NA,NA,NA,NA,0.7830887,0,0,1,1,0
"hh2_14",1,NA,NA,NA,0.8558058,NA,0,0,1,0
"hh2_15",3,1,1,28,0.650814,0.25,0.0833,4,12,1
"hh2_16",NA,NA,NA,NA,0.6269749,NA,NA,0,0,0
"hh2_17",1,NA,NA,NA,0.5894564,0,0,2,1,0
"hh2_18",2,1,1,3,0.6674933,0,0,2,2,0
"hh2_19",NA,NA,NA,NA,0.6818927,NA,0,0,20,0
"hh2_20",2,6,2,31,0.9359626,0.5,1,2,1,1
"hh2_21",3,24,4,141,0.8435263,0.3333,0.25,3,4,1
"hh2_22",NA,NA,NA,NA,0.8549658,NA,0,0,2,0
"hh2_23",1,NA,NA,NA,0.6670933,NA,0,0,1,0
"hh2_24",1,NA,NA,NA,0.7192512,0,0,1,1,0
"hh2_25",NA,NA,NA,NA,0.5044598,NA,0,0,3,0
"hh2_26",1,NA,NA,NA,0.8687253,1,0.5,1,2,1
"hh2_27",NA,NA,NA,NA,0.8083277,NA,0,0,4,0
"hh2_28",NA,NA,NA,NA,0.9939202,0,NA,3,0,0
"hh2_29",NA,NA,NA,NA,0.5880565,0,NA,1,0,0
"hh2_30",NA,NA,NA,NA,0.8168473,NA,0,0,1,0
"hh2_31",1,NA,NA,NA,0.7326907,0.5,1,2,1,1
"hh2_32",1,NA,NA,NA,0.6709732,0,0,2,1,0
"hh2_33",NA,NA,NA,NA,0.7435703,NA,0,0,2,0
"hh2_34",NA,NA,NA,NA,0.5860966,0,0,1,2,0
"hh2_35",NA,NA,NA,NA,0.7145714,NA,NA,0,0,0
"hh2_36",NA,NA,NA,NA,0.7708092,NA,NA,0,0,0
"hh2_37",2,1,1,18,0.9194432,0,NA,2,0,0
"hh2_38",NA,NA,NA,NA,0.5183793,0,NA,2,0,0
"hh2_39",NA,NA,NA,NA,0.6454142,NA,NA,0,0,0
"hh2_40",NA,NA,NA,NA,0.625735,NA,NA,0,0,0
"hh2_41",3,1500,185,1500,0.6976921,1,0.8333,5,6,5
"hh2_42",2,8,2,48,0.6717731,1,0.5,1,2,1
"hh2_43",9,1,1,4,0.5630575,0,NA,9,0,0
"hh2_44",3,1,1,1,0.8050078,NA,0,0,3,0
"hh2_45",NA,NA,NA,NA,0.5265789,NA,NA,0,0,0
"hh2_46",1,NA,NA,NA,0.7448902,0,0,3,1,0
"hh2_47",3,28,3,379,0.7380105,0.3333,0.3333,3,3,1
"hh2_48",4,1,1,6,0.7616895,0,0,5,2,0
"hh2_49",NA,NA,NA,NA,0.8778849,0.5,1,2,1,1
"hh2_50",1,NA,NA,NA,0.6327347,0,0,2,1,0
"hh2_51",2,42,4,408,0.6972121,0.5,1,2,1,1
"hh2_52",NA,NA,NA,NA,0.5543778,0,NA,2,0,0
"hh2_53",3,2,2,6,0.600536,0,0,1,3,0
"hh2_54",NA,NA,NA,NA,0.5426183,NA,NA,0,0,0
"hh2_55",2,1,1,821,0.350986,0,0,1,2,0
"hh2_56",2,1,1,2,0.9334827,0,0,2,2,0
"hh2_57",2,1,1,5,0.6880525,NA,0,0,2,0
"hh2_58",NA,NA,NA,NA,0.75029,NA,0,0,1,0
"hh2_59",1,NA,NA,NA,0.74953,0,0,2,1,0
"hh2_60",1,NA,NA,NA,0.9584417,NA,0,0,1,0
"hh2_61",NA,NA,NA,NA,0.6276549,NA,NA,0,0,0
"hh2_62",NA,NA,NA,NA,0.876005,NA,0,0,2,0
